date,sales
1/1/2018,41
1/2/2018,33
1/3/2018,46
1/4/2018,50
1/5/2018,44
1/6/2018,57
1/7/2018,27
1/8/2018,43
1/9/2018,38
1/10/2018,49
1/11/2018,53
1/12/2018,47
1/13/2018,58
1/14/2018,26
1/15/2018,40
1/16/2018,43
1/17/2018,38
1/18/2018,46
1/19/2018,50
1/20/2018,49
1/21/2018,36
1/22/2018,43
1/23/2018,35
1/24/2018,41
1/25/2018,50
1/26/2018,38
1/27/2018,50
1/28/2018,35
1/29/2018,41
1/30/2018,45
1/31/2018,42
2/1/2018,36
2/2/2018,47
2/3/2018,48
2/4/2018,31
2/5/2018,41
2/6/2018,36
2/7/2018,48
2/8/2018,40
2/9/2018,61
2/10/2018,49
2/11/2018,38
2/12/2018,46
2/13/2018,48
2/14/2018,46
2/15/2018,52
2/16/2018,49
2/17/2018,53
2/18/2018,35
2/19/2018,46
2/20/2018,50
2/21/2018,49
2/22/2018,46
2/23/2018,53
2/24/2018,57
2/25/2018,33
2/26/2018,38
2/27/2018,48
2/28/2018,38
3/1/2018,57
3/2/2018,62
3/3/2018,70
3/4/2018,38
3/5/2018,51
3/6/2018,58
3/7/2018,65
3/8/2018,50
3/9/2018,59
3/10/2018,62
3/11/2018,35
3/12/2018,54
3/13/2018,66
3/14/2018,45
3/15/2018,67
3/16/2018,70
3/17/2018,68
3/18/2018,36
3/19/2018,43
3/20/2018,53
3/21/2018,63
3/22/2018,61
3/23/2018,76
3/24/2018,61
3/25/2018,33
3/26/2018,52
3/27/2018,54
3/28/2018,69
3/29/2018,62
3/30/2018,66
3/31/2018,69
4/1/2018,58
4/2/2018,63
4/3/2018,74
4/4/2018,74
4/5/2018,69
4/6/2018,62
4/7/2018,84
4/8/2018,56
4/9/2018,64
4/10/2018,62
4/11/2018,63
4/12/2018,72
4/13/2018,77
4/14/2018,76
4/15/2018,58
4/16/2018,59
4/17/2018,57
4/18/2018,47
4/19/2018,70
4/20/2018,81
4/21/2018,73
4/22/2018,53
4/23/2018,48
4/24/2018,66
4/25/2018,54
4/26/2018,72
4/27/2018,67
4/28/2018,68
4/29/2018,60
4/30/2018,65
5/1/2018,63
5/2/2018,71
5/3/2018,71
5/4/2018,91
5/5/2018,93
5/6/2018,50
5/7/2018,69
5/8/2018,52
5/9/2018,60
5/10/2018,92
5/11/2018,78
5/12/2018,67
5/13/2018,71
5/14/2018,68
5/15/2018,76
5/16/2018,82
5/17/2018,90
5/18/2018,66
5/19/2018,111
5/20/2018,57
5/21/2018,63
5/22/2018,65
5/23/2018,78
5/24/2018,68
5/25/2018,82
5/26/2018,73
5/27/2018,54
5/28/2018,83
5/29/2018,68
5/30/2018,70
5/31/2018,80
6/1/2018,74
6/2/2018,82
6/3/2018,60
6/4/2018,79
6/5/2018,64
6/6/2018,82
6/7/2018,79
6/8/2018,77
6/9/2018,119
6/10/2018,59
6/11/2018,68
6/12/2018,65
6/13/2018,75
6/14/2018,73
6/15/2018,100
6/16/2018,104
6/17/2018,64
6/18/2018,58
6/19/2018,70
6/20/2018,80
6/21/2018,86
6/22/2018,86
6/23/2018,99
6/24/2018,55
6/25/2018,64
6/26/2018,68
6/27/2018,76
6/28/2018,76
6/29/2018,77
6/30/2018,94
7/1/2018,76
7/2/2018,75
7/3/2018,72
7/4/2018,85
7/5/2018,97
7/6/2018,84
7/7/2018,88
7/8/2018,48
7/9/2018,81
7/10/2018,84
7/11/2018,84
7/12/2018,75
7/13/2018,87
7/14/2018,65
7/15/2018,68
7/16/2018,69
7/17/2018,73
7/18/2018,71
7/19/2018,95
7/20/2018,85
7/21/2018,98
7/22/2018,66
7/23/2018,78
7/24/2018,76
7/25/2018,91
7/26/2018,106
7/27/2018,83
7/28/2018,75
7/29/2018,75
7/30/2018,56
7/31/2018,71
8/1/2018,59
8/2/2018,86
8/3/2018,67
8/4/2018,70
8/5/2018,63
8/6/2018,68
8/7/2018,71
8/8/2018,71
8/9/2018,74
8/10/2018,80
8/11/2018,79
8/12/2018,55
8/13/2018,59
8/14/2018,71
8/15/2018,82
8/16/2018,72
8/17/2018,89
8/18/2018,106
8/19/2018,61
8/20/2018,57
8/21/2018,77
8/22/2018,72
8/23/2018,84
8/24/2018,76
8/25/2018,88
8/26/2018,56
8/27/2018,77
8/28/2018,55
8/29/2018,61
8/30/2018,68
8/31/2018,66
9/1/2018,81
9/2/2018,61
9/3/2018,65
9/4/2018,57
9/5/2018,60
9/6/2018,66
9/7/2018,73
9/8/2018,92
9/9/2018,52
9/10/2018,57
9/11/2018,72
9/12/2018,73
9/13/2018,60
9/14/2018,80
9/15/2018,88
9/16/2018,54
9/17/2018,67
9/18/2018,74
9/19/2018,54
9/20/2018,65
9/21/2018,60
9/22/2018,92
9/23/2018,54
9/24/2018,64
9/25/2018,60
9/26/2018,68
9/27/2018,83
9/28/2018,58
9/29/2018,83
9/30/2018,48
10/1/2018,57
10/2/2018,52
10/3/2018,77
10/4/2018,55
10/5/2018,68
10/6/2018,72
10/7/2018,51
10/8/2018,68
10/9/2018,57
10/10/2018,56
10/11/2018,65
10/12/2018,75
10/13/2018,58
10/14/2018,48
10/15/2018,61
10/16/2018,57
10/17/2018,75
10/18/2018,59
10/19/2018,68
10/20/2018,62
10/21/2018,55
10/22/2018,60
10/23/2018,56
10/24/2018,53
10/25/2018,73
10/26/2018,66
10/27/2018,61
10/28/2018,47
10/29/2018,46
10/30/2018,69
10/31/2018,57
11/1/2018,59
11/2/2018,66
11/3/2018,71
11/4/2018,51
11/5/2018,71
11/6/2018,63
11/7/2018,67
11/8/2018,65
11/9/2018,76
11/10/2018,70
11/11/2018,46
11/12/2018,70
11/13/2018,60
11/14/2018,64
11/15/2018,68
11/16/2018,86
11/17/2018,74
11/18/2018,44
11/19/2018,70
11/20/2018,64
11/21/2018,58
11/22/2018,70
11/23/2018,76
11/24/2018,75
11/25/2018,60
11/26/2018,73
11/27/2018,53
11/28/2018,63
11/29/2018,63
11/30/2018,68
12/1/2018,62
12/2/2018,47
12/3/2018,43
12/4/2018,37
12/5/2018,51
12/6/2018,47
12/7/2018,66
12/8/2018,48
12/9/2018,28
12/10/2018,46
12/11/2018,53
12/12/2018,46
12/13/2018,60
12/14/2018,44
12/15/2018,47
12/16/2018,44
12/17/2018,47
12/18/2018,38
12/19/2018,57
12/20/2018,58
12/21/2018,64
12/22/2018,49
12/23/2018,48
12/24/2018,49
12/25/2018,50
12/26/2018,52
12/27/2018,48
12/28/2018,65
12/29/2018,50
12/30/2018,32
12/31/2018,42
1/1/2019,38
1/2/2019,55
1/3/2019,48
1/4/2019,54
1/5/2019,51
1/6/2019,36
1/7/2019,65
1/8/2019,42
1/9/2019,39
1/10/2019,47
1/11/2019,39
1/12/2019,44
1/13/2019,42
1/14/2019,39
1/15/2019,52
1/16/2019,36
1/17/2019,40
1/18/2019,55
1/19/2019,77
1/20/2019,35
1/21/2019,44
1/22/2019,55
1/23/2019,42
1/24/2019,54
1/25/2019,49
1/26/2019,63
1/27/2019,34
1/28/2019,50
1/29/2019,63
1/30/2019,57
1/31/2019,56
2/1/2019,83
2/2/2019,65
2/3/2019,42
2/4/2019,66
2/5/2019,50
2/6/2019,62
2/7/2019,59
2/8/2019,67
2/9/2019,59
2/10/2019,51
2/11/2019,50
2/12/2019,56
2/13/2019,51
2/14/2019,62
2/15/2019,58
2/16/2019,64
2/17/2019,58
2/18/2019,53
2/19/2019,50
2/20/2019,64
2/21/2019,61
2/22/2019,64
2/23/2019,76
2/24/2019,36
2/25/2019,42
2/26/2019,58
2/27/2019,52
2/28/2019,57
3/1/2019,74
3/2/2019,86
3/3/2019,55
3/4/2019,58
3/5/2019,67
3/6/2019,61
3/7/2019,65
3/8/2019,71
3/9/2019,86
3/10/2019,52
3/11/2019,65
3/12/2019,58
3/13/2019,80
3/14/2019,71
3/15/2019,84
3/16/2019,74
3/17/2019,44
3/18/2019,62
3/19/2019,57
3/20/2019,66
3/21/2019,73
3/22/2019,77
3/23/2019,67
3/24/2019,56
3/25/2019,64
3/26/2019,62
3/27/2019,54
3/28/2019,63
3/29/2019,63
3/30/2019,78
3/31/2019,54
4/1/2019,79
4/2/2019,69
4/3/2019,85
4/4/2019,69
4/5/2019,76
4/6/2019,98
4/7/2019,54
4/8/2019,72
4/9/2019,56
4/10/2019,65
4/11/2019,83
4/12/2019,95
4/13/2019,106
4/14/2019,56
4/15/2019,76
4/16/2019,61
4/17/2019,68
4/18/2019,85
4/19/2019,99
4/20/2019,96
4/21/2019,55
4/22/2019,70
4/23/2019,77
4/24/2019,87
4/25/2019,81
4/26/2019,93
4/27/2019,89
4/28/2019,61
4/29/2019,77
4/30/2019,62
5/1/2019,90
5/2/2019,71
5/3/2019,96
5/4/2019,101
5/5/2019,59
5/6/2019,82
5/7/2019,67
5/8/2019,88
5/9/2019,83
5/10/2019,89
5/11/2019,89
5/12/2019,65
5/13/2019,69
5/14/2019,55
5/15/2019,75
5/16/2019,73
5/17/2019,95
5/18/2019,98
5/19/2019,80
5/20/2019,80
5/21/2019,79
5/22/2019,75
5/23/2019,98
5/24/2019,108
5/25/2019,93
5/26/2019,62
5/27/2019,77
5/28/2019,100
5/29/2019,79
5/30/2019,95
